unit,school.illit,school.prim,school.med,school.high,invest,special.sec.agriculture.1961.1969,special.sec.energy.1961.1969,special.sec.industry.1961.1969,special.sec.construction.1961.1969,special.sec.services.venta.1961.1969,special.sec.services.nonventa.1961.1969,special.popdens.1969
Andalucia,20.725029973348697,73.51128608493991,3.7342325139012003,2.02945142781018,19.320030848185198,24.1939998626709,2.7740000247955297,18.276000213623,8.129999923706059,38.1860000610352,8.444000053405759,68.5100021362305
Aragon,8.39806230538958,83.6781817310376,5.078191502012401,2.8455644615604596,21.577486038207997,21.725999832153303,6.277999973297121,22.779999923706104,7.83200006484985,34.2899993896484,7.095999908447269,24.0400009155273
Baleares,12.6607827855674,79.5036609179952,5.29785555439115,2.5377007420462596,24.441711902618398,13.130000114440902,2.07600002288818,18.2580003738403,8.29399995803833,51.7519996643066,6.49399995803833,104.16999816894501
Basque,3.32072718624686,85.892869939418,7.52238744477567,3.2640154295594597,24.6473830540975,6.84399995803833,4.10600004196167,45.0819999694824,6.15,33.754000091552705,4.07200012207031,246.889999389648
Canarias,17.9758442522123,73.1449059233061,6.367141270861549,2.5121085536201497,25.954247156778997,19.9439998626709,7.81800003051758,9.81600017547607,8.66999988555908,45.2780006408691,8.48200006484985,148.25
Cantabria,2.81907063942088,86.88993398459299,7.23345713317278,3.0575382428133797,29.071211496988898,15.9219995498657,2.89400005340576,36.5299995422363,5.97599992752075,33.484000396728504,5.19799995422363,87.3899993896484
Castilla,5.1931030056175596,86.96809850902142,5.035194898514741,2.8036035868462403,19.6525090535482,29.7180000305176,7.81800003051758,16.4740001678467,7.14399995803833,30.844000244140602,7.9999999046325705,28.7700004577637
Castilla-La,18.9050304382326,76.9181428873161,2.47928062057437,1.69754605387694,17.970689773559602,36.0860008239746,5.18000001907349,17.1779998779297,5.80999994277954,29.238000106811498,6.505999851226809,22.3799991607666
Cataluna,8.00402041544576,83.0354814794569,6.19636749712404,2.76413060797333,22.520380338033,6.93599987030029,2.8800000190734907,40.055999755859396,6.70600004196167,39.0680000305176,4.35600004196167,153.11999511718798
Comunidad,12.6098125898296,80.0663048329986,4.91035124285464,2.4135313343172298,23.7026964823405,18.581999969482396,2.69800000190735,28.0459999084473,6.17000007629395,39.0640007019043,5.44400005340576,128.699996948242
Extremadura,19.5196660400105,76.0991833533443,2.6412146568325094,1.73993594981273,20.239483833313,37.9480003356934,2.64600002765656,10.8859998703003,8.770000076293941,31.720000076293896,8.03800010681152,28.969999313354503
Galicia,11.609708107685302,82.43838387759041,3.83102153510494,2.12088647961933,20.6062690416972,28.862000274658197,5.32799997329712,17.881999969482397,7.03200006484985,33.714000701904304,7.18800001144409,91.0199966430664
Madrid,5.5964227511747895,78.0073391363415,11.3459843624362,5.0502537500474505,16.234542687734002,1.86400001049042,2.07400000095367,23.834000396728502,8.3579999923706,52.7139999389648,11.162000083923301,442.450012207031
Murcia,18.2849148653135,74.562159265752,4.819580591397339,2.33334527753717,20.7062711715698,19.3520004272461,10.2279998779297,19.6439998626709,6.28999996185303,36.1779991149902,8.31199989318848,73.36000061035159
Navarra,4.139470366284851,86.25222042940041,6.29972681028175,3.3085823940330203,19.9551588694255,24.7040000915527,2.74000000953674,28.398000335693396,6.98200006484985,30.4680000305176,6.709999847412111,44.16999816894529
Principado,4.0892984772743795,87.12880875533149,6.02561911554992,2.75627365184423,22.769642512003603,12.362000083923302,18.6479999542236,24.1259998321533,9.0060001373291,30.1519996643066,5.7079998970031705,98.73999786376949
Rioja,5.1913131774740995,86.37380068555478,5.536312174515119,2.89857396245593,18.0559320449829,30.32200050354,2.88799996376038,26.6119998931885,5.23800001144409,28.2999996185303,6.64399995803833,46.58000183105471
