unit,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
Andalucia,1.68873183014256,1.75849753289657,1.8276206972393998,1.85275629430933,1.87803484718652,2.0101399600114296,2.12917747377702,2.28034844571473,2.43101972608831,2.50885458681727,2.5846900275284104,2.69444434855945,2.8023422053799396,2.98736079765435,3.17909177525729
Aragon,2.28877455736698,2.44515862202038,2.60339893296391,2.63903175752798,2.67709221577038,2.8814623608517005,3.0995429702841606,3.3591831864305495,3.61418169724945,3.68009129785463,3.7452869911052202,3.88331910400042,4.01613812417992,4.24364488215421,4.47622090535517
Baleares,3.1439588601777797,3.34775783579134,3.5496286513702597,3.64267348698363,3.7348616773555805,4.0588405056702594,4.36025410848017,4.646172696472879,4.91152526105822,5.05069971288895,5.184661507844861,5.466795253671941,5.73764638674664,6.16145369598642,6.58169103261233
Basque,3.8531846300052703,3.9456582961508797,4.03356173487263,4.02342189689665,4.01378196840523,4.28591839622273,4.57433609579741,4.8989573535630395,5.197014981629129,5.33890297875272,5.4651530052518495,5.54591562706414,5.6148957266394905,5.85218493307158,6.08140541736959
Canarias,1.9143815791051901,2.07183672271092,2.22607819361879,2.22086553674397,2.2134390261404104,2.3576836148795697,2.4457297914881497,2.64824325443846,2.84475867525573,2.95115680362251,3.05419873932504,3.2317908209959,3.40338464261327,3.66031153138724,3.91288219060737
Cantabria,2.5594116925716497,2.6938731790916903,2.8203369855404,2.8790345092529397,2.9437302930189597,3.1370322590588,3.32762067980577,3.55534143565008,3.7714226250647096,3.83940290567092,3.90609832737521,4.03213348432256,4.15595544130248,4.37589251494551,4.61082556560291
Castilla,1.72914877104031,1.8383319226035901,1.9476578120537,1.97136537649399,1.99514420091748,2.13881740226844,2.23950296427583,2.45422738104403,2.67223651257286,2.77777777777778,2.88217648612673,2.98807492292939,3.0945443112793702,3.30227086694538,3.5209939058288
Castilla-La,1.32776351357759,1.41509567387136,1.5035703910210902,1.5314196423441002,1.5593401536503,1.66752359520466,1.75242790389967,1.9204513170623099,2.09190240079285,2.18259064479066,2.27470713933854,2.3783919403329,2.4823622171009196,2.7090831539761,2.94744365728096
Cataluna,3.54662963030373,3.6904455695415197,3.82683499817574,3.8756783776063997,3.9217367338405498,4.24178820002321,4.57533547892566,4.83804641196265,5.0813340963686695,5.15809787814531,5.22365052507319,5.33247650503874,5.429448920704581,5.6743788535306905,5.91552394419117
Comunidad,2.57597822218206,2.73850328477578,2.89988579051354,2.96351049532723,3.02620685907542,3.21929439140435,3.3624679011911804,3.5699800231462904,3.76521014922076,3.8236930213019504,3.8741786491527,3.97814892592072,4.0734076152628305,4.27977739828241,4.48628970126839
Extremadura,1.24343048331057,1.3325478478317,1.4224507065712801,1.4402313799015,1.4580834221751398,1.5358469139606898,1.5962581639969502,1.7055841624072798,1.8176949660936699,1.8828192904008503,1.9488718468133,2.0326334896921203,2.11760916733054,2.24550122432932,2.3819623487876203
Galicia,1.63467579383708,1.72557836258558,1.8164810402942901,1.84090251208918,1.86539567970814,1.9832904186973401,2.00578416629847,2.18566114376082,2.3663954202259196,2.45879739054746,2.5497000682561697,2.66966570516683,2.7878463557705597,2.9783632986139,3.1773778310131298
Madrid,4.594472815942099,4.78663244304641,4.96343913945904,4.90616964837613,4.84640104571127,5.16109689921183,5.632604813105849,5.84083127825644,6.024492879963981,6.09932893754686,6.15202820120591,6.11046859449198,6.057340899252,6.2531419768738,6.43558976174218
Murcia,1.67952011531164,1.76428168611981,1.85032844271056,1.8873892999042698,1.9240932034206701,2.11860898629967,2.30548404278465,2.5214224943124504,2.73907445424354,2.85125684479379,2.96593834692599,3.0991860166068603,3.2272922893961096,3.4611540431807404,3.7061554539104904
Navarra,2.55512715884189,2.6981577128214504,2.83983149415457,2.88189079243263,2.93087690975012,3.1635246287751504,3.3359040535711904,3.6233934120803704,3.89481571462283,3.98514722286378,4.07297918368189,4.21001147760796,4.35239938421612,4.55698352716746,4.765709901802611
Principado,2.50292780466742,2.61553840887816,2.72579263939377,2.7518565775291903,2.77742082410048,2.96729511957242,3.1438873822741495,3.37353608023266,3.59725799604131,3.67259352726788,3.74335883107059,3.9093828242154,4.07312213948916,4.30862614169389,4.5497001902916105
Rioja,2.39045993834351,2.5352042186467902,2.6800199768537096,2.72643528676517,2.77285059667662,2.96986570905801,3.1531705750087005,3.4043844615824104,3.66923755252406,3.8039847327381895,3.9218082117441897,4.03270487171076,4.16031123501544,4.37303644968625,4.60354179288618
